birth_year,gender,rank,given_name,source_year,source_method,source_url
1966,female,1,미경,1968,historical_anchor_nearest,https://www.yna.co.kr/view/AKR20250707129900518
1966,female,2,미숙,1968,historical_anchor_nearest,https://www.yna.co.kr/view/AKR20250707129900518
1966,female,3,경희,1968,historical_anchor_nearest,https://www.yna.co.kr/view/AKR20250707129900518
1966,female,4,경숙,1968,historical_anchor_nearest,https://www.yna.co.kr/view/AKR20250707129900518
1966,female,5,영숙,1968,historical_anchor_nearest,https://www.yna.co.kr/view/AKR20250707129900518
1966,female,6,정희,1968,curated_supplement,https://www.yna.co.kr/view/AKR20250707129900518
1966,female,7,영희,1968,curated_supplement,https://www.yna.co.kr/view/AKR20250707129900518
1966,female,8,명숙,1968,curated_supplement,https://www.yna.co.kr/view/AKR20250707129900518
1966,female,9,정숙,1968,curated_supplement,https://www.yna.co.kr/view/AKR20250707129900518
1966,female,10,순희,1968,curated_supplement,https://www.yna.co.kr/view/AKR20250707129900518
1966,female,11,옥희,1968,curated_supplement,https://www.yna.co.kr/view/AKR20250707129900518
1966,female,12,경자,1968,curated_supplement,https://www.yna.co.kr/view/AKR20250707129900518
1966,female,13,영자,1968,curated_supplement,https://www.yna.co.kr/view/AKR20250707129900518
1966,female,14,순자,1968,curated_supplement,https://www.yna.co.kr/view/AKR20250707129900518
1966,female,15,복순,1968,curated_supplement,https://www.yna.co.kr/view/AKR20250707129900518
1966,male,1,성호,1968,historical_anchor_nearest,https://www.yna.co.kr/view/AKR20250707129900518
1966,male,2,영수,1968,historical_anchor_nearest,https://www.yna.co.kr/view/AKR20250707129900518
1966,male,3,영호,1968,historical_anchor_nearest,https://www.yna.co.kr/view/AKR20250707129900518
1966,male,4,영철,1968,historical_anchor_nearest,https://www.yna.co.kr/view/AKR20250707129900518
1966,male,5,정호,1968,historical_anchor_nearest,https://www.yna.co.kr/view/AKR20250707129900518
1966,male,6,영진,1968,curated_supplement,https://www.yna.co.kr/view/AKR20250707129900518
1966,male,7,정수,1968,curated_supplement,https://www.yna.co.kr/view/AKR20250707129900518
1966,male,8,성수,1968,curated_supplement,https://www.yna.co.kr/view/AKR20250707129900518
1966,male,9,병철,1968,curated_supplement,https://www.yna.co.kr/view/AKR20250707129900518
1966,male,10,동수,1968,curated_supplement,https://www.yna.co.kr/view/AKR20250707129900518
1966,male,11,재호,1968,curated_supplement,https://www.yna.co.kr/view/AKR20250707129900518
1966,male,12,태수,1968,curated_supplement,https://www.yna.co.kr/view/AKR20250707129900518
1966,male,13,광수,1968,curated_supplement,https://www.yna.co.kr/view/AKR20250707129900518
1966,male,14,상철,1968,curated_supplement,https://www.yna.co.kr/view/AKR20250707129900518
1966,male,15,종수,1968,curated_supplement,https://www.yna.co.kr/view/AKR20250707129900518
1967,female,1,미경,1968,historical_anchor_nearest,https://www.yna.co.kr/view/AKR20250707129900518
1967,female,2,미숙,1968,historical_anchor_nearest,https://www.yna.co.kr/view/AKR20250707129900518
1967,female,3,경희,1968,historical_anchor_nearest,https://www.yna.co.kr/view/AKR20250707129900518
1967,female,4,경숙,1968,historical_anchor_nearest,https://www.yna.co.kr/view/AKR20250707129900518
1967,female,5,영숙,1968,historical_anchor_nearest,https://www.yna.co.kr/view/AKR20250707129900518
1967,female,6,정희,1968,curated_supplement,https://www.yna.co.kr/view/AKR20250707129900518
1967,female,7,영희,1968,curated_supplement,https://www.yna.co.kr/view/AKR20250707129900518
1967,female,8,명숙,1968,curated_supplement,https://www.yna.co.kr/view/AKR20250707129900518
1967,female,9,정숙,1968,curated_supplement,https://www.yna.co.kr/view/AKR20250707129900518
1967,female,10,순희,1968,curated_supplement,https://www.yna.co.kr/view/AKR20250707129900518
1967,female,11,옥희,1968,curated_supplement,https://www.yna.co.kr/view/AKR20250707129900518
1967,female,12,경자,1968,curated_supplement,https://www.yna.co.kr/view/AKR20250707129900518
1967,female,13,영자,1968,curated_supplement,https://www.yna.co.kr/view/AKR20250707129900518
1967,female,14,순자,1968,curated_supplement,https://www.yna.co.kr/view/AKR20250707129900518
1967,female,15,복순,1968,curated_supplement,https://www.yna.co.kr/view/AKR20250707129900518
1967,male,1,성호,1968,historical_anchor_nearest,https://www.yna.co.kr/view/AKR20250707129900518
1967,male,2,영수,1968,historical_anchor_nearest,https://www.yna.co.kr/view/AKR20250707129900518
1967,male,3,영호,1968,historical_anchor_nearest,https://www.yna.co.kr/view/AKR20250707129900518
1967,male,4,영철,1968,historical_anchor_nearest,https://www.yna.co.kr/view/AKR20250707129900518
1967,male,5,정호,1968,historical_anchor_nearest,https://www.yna.co.kr/view/AKR20250707129900518
1967,male,6,영진,1968,curated_supplement,https://www.yna.co.kr/view/AKR20250707129900518
1967,male,7,정수,1968,curated_supplement,https://www.yna.co.kr/view/AKR20250707129900518
1967,male,8,성수,1968,curated_supplement,https://www.yna.co.kr/view/AKR20250707129900518
1967,male,9,병철,1968,curated_supplement,https://www.yna.co.kr/view/AKR20250707129900518
1967,male,10,동수,1968,curated_supplement,https://www.yna.co.kr/view/AKR20250707129900518
1967,male,11,재호,1968,curated_supplement,https://www.yna.co.kr/view/AKR20250707129900518
1967,male,12,태수,1968,curated_supplement,https://www.yna.co.kr/view/AKR20250707129900518
1967,male,13,광수,1968,curated_supplement,https://www.yna.co.kr/view/AKR20250707129900518
1967,male,14,상철,1968,curated_supplement,https://www.yna.co.kr/view/AKR20250707129900518
1967,male,15,종수,1968,curated_supplement,https://www.yna.co.kr/view/AKR20250707129900518
1968,female,1,미경,1968,historical_anchor_nearest,https://www.yna.co.kr/view/AKR20250707129900518
1968,female,2,미숙,1968,historical_anchor_nearest,https://www.yna.co.kr/view/AKR20250707129900518
1968,female,3,경희,1968,historical_anchor_nearest,https://www.yna.co.kr/view/AKR20250707129900518
1968,female,4,경숙,1968,historical_anchor_nearest,https://www.yna.co.kr/view/AKR20250707129900518
